InspectionDateAndId,less_than_sensitivity_count,mean_velocity,max_velocity,std_velocity,mean_velocity_x,max_velocity_x,std_velocity_x,mean_velocity_y,max_velocity_y,std_velocity_y,mean_acceleration,max_acceleration,std_acceleration,mean_acceleration_x,max_acceleration_x,std_acceleration_x,mean_acceleration_y,max_acceleration_y,std_acceleration_y,mean_jerk,max_jerk,std_jerk,mean_jerk_x,max_jerk_x,std_jerk_x,mean_jerk_y,max_jerk_y,std_jerk_y,manhattan_distance_sum,manhattan_distance_mean,euclidean_distance_sum,euclidean_distance_mean,gaze_endpoint_std_x,gaze_endpoint_std_y,gaze_endpoint_std_combined,exclude_initial_seconds
20241009101605_1,1,18.25959966,123.6312065,21.77736936,0.529462959,104.8315,18.58335188,0.660197483,106.7838857,21.48510269,1547.179421,9610.931269,1379.207458,-2.37903369,7212.673469,1182.701067,16.70470278,9381.7991,1702.03139,164931.2612,1121025.365,142362.5027,-64.78681869,550926.0847,122056.577,-2120.083648,1116354.455,180463.5591,33054.96118,23.27814168,25892.05361,18.23384057,12.41608198,14.32300322,18.95540855,5
20241009101953_2,1,22.80006086,228.3792147,28.25329369,-0.279443222,144.9200769,22.60645802,0.294857677,176.5084615,28.40553478,1960.48955,11087.37974,1829.66268,-2.429425655,7972.28191,1344.387922,0.258285964,10578.6495,2320.301693,220815.0264,1290262.15,195120.3925,81.37556233,728462.7775,144117.6236,434.0928217,1286346.243,257023.6544,39276.62946,22.88847871,31602.22742,18.41621645,10.89370137,15.15858382,18.66695993,5
20241009102622_3,1,15.30679741,160.875805,21.24119423,0.113182219,137.5495625,17.10276537,0.212006797,144.9065333,19.82231164,1244.871261,7505.419134,1222.144012,5.143562597,5811.077098,984.5871283,3.242506362,7188.148259,1440.101266,129236.4933,794101.3581,120308.4253,-666.1391625,523195.2777,97519.88458,-522.6579841,779735.9978,147191.5201,40985.67221,22.094702,33431.72196,18.02249162,13.51014473,12.43107939,18.35907801,5
20241009103234_6,1,15.91599769,184.3812403,24.83523799,0.592030347,150.935,20.94042739,0.85245834,152.77,20.74920105,1535.87509,14557.00039,1907.980185,0.878152008,13106.01648,1616.566815,-2.345860952,11395.79232,1840.11036,187172.2969,2003763.797,224045.763,152.4531614,1716336.964,191310.4807,284.5258206,1541188.692,220522.4896,31199.07851,22.38097454,24850.39817,17.82668449,11.92896374,13.9585292,18.36139193,5
20241009103315_7,6,22.38171895,396.6509568,35.08517313,1.138055979,390.9637857,34.82325078,-0.225956935,159.6136429,22.75754147,1596.789793,13483.84147,1604.901824,-9.673221752,11025.91716,1407.333648,-10.29288025,13399.06111,1773.318921,163744.1764,1099491.552,155963.7042,806.7764512,879013.8114,130504.9701,809.0901641,1099114.717,184672.6282,43321.50932,19.26256528,35669.31144,15.86007623,11.65878133,12.45395518,17.05954811,5
20241009104009_10,2,19.22240255,215.8751361,25.80131622,-0.519137818,162.8592,22.17425381,-0.319000314,162.2037368,23.30536164,1480.610153,8617.977248,1295.936384,10.25104072,6210.27551,1194.458622,13.30066921,7862.039742,1563.535783,158785.5698,1034139.656,136125.1755,-581.4489982,644724.0497,124227.8003,-676.3249352,942592.6983,168254.5058,44533.792,19.74015603,34217.36462,15.16727155,11.44776095,11.71768201,16.38155373,5
20241009104511_13,1,13.54677752,236.0720932,26.65975102,0.513427587,230.5702857,20.75588719,-0.617999783,212.446125,21.51290591,949.2419591,10817.0755,1278.139302,-2.031831541,4759.734694,961.029181,12.727185,10161.3614,1269.234879,98059.57138,741893.8648,119505.9942,-119.8437844,504831.9931,92477.46231,170.8375418,637573.907,123875.896,32054.65131,22.12191257,25809.70158,17.81207839,12.45670192,13.24964127,18.18577512,5
20241009104851_15,1,16.16356965,209.3853585,25.79889679,-0.594217096,132.8459333,20.39319642,-0.09534357,170.6861538,22.59644696,1277.003811,7189.586932,1388.626256,3.844978269,5287.789116,1177.669019,0.621831803,6734.099199,1473.805321,141213.3239,669479.9269,142537.4601,-618.2095385,592092.3719,124887.0852,104.7312418,623405.2496,157038.0629,29632.5218,22.38105876,23608.33037,17.83106524,11.93853721,14.21362867,18.56221729,5
20241009105123_17,15,14.38007261,175.7500262,23.71769155,0.619426923,139.3069231,18.02251285,0.595091238,159.3702667,21.06576816,1148.188938,9589.134165,1406.456342,-3.790925244,7406.792411,1121.171574,-1.122040089,6350.908223,1428.081213,119052.317,844651.6178,136045.6117,308.6805957,607590.2201,111930.5648,213.0382018,702142.6193,141962.2156,28910.13246,22.44575502,22964.82086,17.82982986,11.96814332,14.04816037,18.45500648,5
20241009105622_19,1,14.03768881,148.7593649,21.21144288,0.559251308,107.0351111,19.11090179,0.781512203,148.3629412,16.75804062,1070.560169,5677.164598,1170.832691,5.843748743,5639.414201,1120.72885,-6.926357432,5357.822222,1122.868196,114319.2307,644977.2168,118080.3863,-360.485204,640688.5487,116121.2774,726.3921005,537577.2709,116305.8703,29776.05185,22.66061785,23575.82227,17.94202608,12.12067421,14.03237847,18.54234043,5
