InspectionDateAndId,gaze_endpoint_std_x,gaze_endpoint_std_y,gaze_endpoint_std_combined
20241009101605_1,12.41608198,14.32300322,18.95540855
20241009101953_2,10.89370137,15.15858382,18.66695993
20241009102622_3,13.51014473,12.43107939,18.35907801
20241009103234_6,11.92896374,13.9585292,18.36139193
20241009103315_7,11.65878133,12.45395518,17.05954811
20241009104009_10,11.44776095,11.71768201,16.38155373
20241009104511_13,12.45670192,13.24964127,18.18577512
20241009104851_15,11.93853721,14.21362867,18.56221729
20241009105123_17,11.96814332,14.04816037,18.45500648
20241009105622_19,12.12067421,14.03237847,18.54234043
20241009105642_20,31.06069787,13.32187964,33.79703284
20241009110028_22,12.49764601,14.01936229,18.78120536
20241009110048_23,12.83127838,13.68967086,18.76296333
20241009110346_24,11.69776816,13.98966699,18.23591408
20241009110727_26,12.45074217,13.87866627,18.64506257
20241009110926_27,11.33589537,12.9959411,17.24520249
20241009110948_28,11.57172655,14.31684505,18.4086096
20241009111206_29,11.91420237,14.2620807,18.58373385
20241009111357_31,10.65833936,10.98570202,15.30639888
20241009111801_32,12.61606414,13.45994746,18.44817769
20241009111839_33,11.90794745,13.73768594,18.18029778
20241009111855_34,11.98811415,13.90419406,18.35868986
20241009112047_35,11.92125177,14.06595792,18.43820533
20241009112415_36,12.10952787,14.21843751,18.67631202
20241009112532_37,11.88172525,14.02024407,18.37777568
20241009112542_38,12.14138836,14.59618269,18.98583315
20241009112601_39,12.89776355,14.17344565,19.1634774
20241009113031_40,12.15497306,14.02523757,18.55938197
20241009113055_41,12.10218579,13.92315925,18.44768995
20241009113206_42,12.81034525,15.8700451,20.39517779
20241009113326_43,11.8597954,13.76480931,18.16933467
20241009113513_44,10.59336927,13.96328501,17.52691647
20241009113623_45,12.29090629,13.62963391,18.35301877
20241009113714_46,14.05206402,30.41489121,33.5041208
20241009114057_47,12.06432515,14.05616816,18.52360129
20241009114235_48,12.4318341,13.67580686,18.48183412
20241009114256_49,11.88322819,13.80568702,18.21560063
20241009114326_50,11.85657586,14.14776826,18.4590828
20241009114516_51,11.97136884,14.09817569,18.49519477
20241009114700_52,11.01029441,14.33274275,18.07357457
20241009115138_55,12.94957646,14.16205916,19.18998307
20241009115237_56,10.73911192,13.18529326,17.0053075
20241009115410_57,12.09441469,14.02608104,18.52041619
20241009115630_58,12.56733913,14.74945266,19.37741899
20241009120510_64,11.4538744,14.87432601,18.77330054
20241009120757_67,14.39684916,13.87075032,19.99167277
20241009121058_69,11.82829439,13.97142015,18.30598616
20241009121542_71,12.08559396,14.01663732,18.50750396
20241009121704_72,12.24301787,13.97468177,18.57910701
20241009122013_73,11.97583762,14.10377425,18.50235484
20241009122013_74,11.85847757,13.20795996,17.75031539
20241009122300_75,12.02232848,14.13981878,18.55992611
20241009122306_76,12.12484503,14.05647561,18.56330718
20241009122509_77,12.55195078,13.198706,18.21420623
20241009122612_78,11.98575864,13.89322364,18.34884393
20241009122653_79,13.68078203,18.79934009,23.25035451
20241009122923_80,10.29136663,12.57883391,16.25236259
20241009123054_81,11.8968843,13.13208947,17.7196961
20241009123128_82,13.33682485,13.44309134,18.93640943
20241009123520_83,13.22781415,12.33586675,18.08725175
20241009123619_84,11.91039383,13.95466881,18.34639645
20241009123931_85,11.76113997,13.59157981,17.97374349
20241009124003_86,11.57354378,13.26686227,17.60558293
20241009133840_87,12.08850794,13.87868787,18.40516235
20241009134250_88,12.00904483,14.08459338,18.50926602
20241009134534_89,12.37915749,13.85441012,18.57924165
20241009135010_90,12.7114755,19.31536366,23.12282169
20241009140537_96,12.26191851,13.80202617,18.46213888
20241009140808_97,11.58808907,15.74848778,19.55245958
20241009141636_105,12.33105195,14.04583159,18.69064545
20241009141929_107,14.30646976,20.80362493,25.2480868
20241009142157_108,12.23021947,13.73077367,18.38783331
20241009142541_110,12.01960946,14.15373518,18.56877031
20241009142805_111,12.08819079,13.95030394,18.45901776
20241009142901_112,11.73500476,14.01828948,18.28176076
20241009143249_114,11.89256669,13.77958607,18.20192668
20241009143600_116,12.14002744,14.20933224,18.68917839
20241009143704_118,11.39304659,13.40640634,17.59355682
20241009144029_119,12.71618708,14.41445702,19.22181014
20241009144121_120,11.88291287,13.75428727,18.17646931
20241009144148_121,12.56497934,13.67784728,18.57315837
20241009144501_122,12.86122652,12.01721279,17.60183374
20241009144508_123,12.6992228,13.39961216,18.46130726
20241009144704_125,11.63783194,14.00151489,18.20663482
