InspectionDateAndId,less_than_sensitivity_count,mean_velocity,median_velocity,std_velocity,max_velocity,mean_acceleration,median_acceleration,std_acceleration,max_acceleration,mean_jerk,median_jerk,std_jerk,max_jerk,saccade_count,saccade_rate,saccade_distance,fixation_time,fixation_to_saccade_ratio,saccade_mean_amplitude,saccade_median_amplitude,saccade_std_amplitude,saccade_max_amplitude,saccade_mean_duration,saccade_median_duration,saccade_std_duration,saccade_mean_peak_velocity,saccade_median_peak_velocity,saccade_std_peak_velocity,saccade_mean_curvature_index,saccade_median_curvature_index,saccade_std_curvature_index,main_sequence_ratio_mean,main_sequence_ratio_std,diagonal_saccade_ratio,microsaccade_count,microsaccade_frequency,microsaccade_mean_amplitude,microsaccade_std_amplitude,microsaccade_mean_duration,microsaccade_std_duration,microsaccade_mean_peak_velocity,diagonal_microsaccade_ratio,swj_count,swj_frequency,swj_mean_amplitude,swj_std_amplitude,swj_mean_duration,swj_std_duration,fixation_count,fixation_mean_duration,fixation_std_duration,fixation_mean_dispersion_x,fixation_mean_dispersion_y,fixation_mean_bcea,fixation_max_bcea,direction_changes_45,direction_changes_90,direction_changes_135,direction_change_freq_45,direction_change_freq_90,direction_change_freq_135,angular_noise,pursuit_count,pursuit_mean_duration,pursuit_std_duration,pursuit_total_time,pursuit_time_ratio,pursuit_interruption_count,pursuit_interruption_rate,max_absolute_acceleration,velocity_complexity,fast_saccade_ratio,exploration_x_range,exploration_y_range,exploration_area,mean_distance_from_center,std_distance_from_center,center_to_periphery_transitions,exploration_entropy,low_freq_power,mid_freq_power,high_freq_power,high_to_low_freq_ratio,total_power,manhattan_distance_sum,manhattan_distance_mean,euclidean_distance_sum,euclidean_distance_mean
20241009101605_1,1.0,18.78408098750454,17.49463468387148,22.975101962200025,199.3756286771783,-24.860156835786405,0.0,1451.369262131573,6309.076167258921,1447.5408767989782,0.0,146131.39106362054,609801.391249699,496,16.15214276410056,374.96675340745924,22576.0,2.7761928184948346,2.244332780817747,0.7707214669305376,3.324145517984688,18.85413217480057,58.92941176470588,37.0,45.61547421532821,56.509543493077764,44.606696040399896,29.139287809678503,1.425106507138431,1.0743956804272787,1.110826451129367,37.08564604068389,33.33207788096131,0.24705882352941178,124,4.03803569102514,0.4734796497086299,0.29154338008870145,48.74193548387097,20.42329116622377,36.64364136728973,0.3064516129032258,17,0.5536016673179628,0.7242533540974974,0.21350695478454648,47.705882352941174,17.821879170352094,77,184.42857142857142,125.43642551512355,0.1827178280660279,0.20603410380288198,,,875,571,305,28.494203464895143,18.594503061091572,9.93226520776345,1.0464259570712557,0,0,0,0.0,0.0,0,0,7216.554135354686,1.223115572035886,0.053349140486069944,37.93491,40.32863,1529.8629494733,17.653742672368868,5.659902794537884,2,4.626876265869909,195704.00246209244,130170.77192355826,324222.4173332568,1.6566979379793634,650097.1917189076,37679.655132805,22.322070576306277,29812.953136987235,17.661702095371584
20241009101953_2,1.0,22.794512673931685,0.0,28.94106833327166,228.37921466294839,-32.23261781792551,0.0,1946.348349760259,8873.705831899779,2054.8499653861436,0.0,213797.87242149276,790014.3625603265,842,23.547836787202506,688.5512036410208,22013.0,1.6016443538998837,2.1051912201568634,0.8614248219026488,3.35194870243756,26.05162041394128,59.93251533742331,45.0,47.48097828163457,61.711514617019525,49.274065765864776,32.1931804345218,1.61662941532419,1.2799293189857175,1.2254970943479955,41.56310353017725,35.43356823634082,0.3006134969325153,127,3.5517521044830387,0.5079605905260761,0.320767673058068,45.14173228346457,22.18842871076583,44.36329258078882,0.29133858267716534,20,0.559331040076069,0.6763994188424771,0.2634738403904758,40.8,13.343912469736903,70,137.5857142857143,81.40068319424472,0.09782307514983402,0.08560680248713766,,,1034,670,317,28.91741477193277,18.737589842548314,8.865396985205695,1.0081148202382093,0,0,0,0.0,0.0,0,0,10499.685827325866,1.2696506719518208,0.08410757946210269,38.56998,47.68161,1839.0787440678,18.128254475835167,5.160252488014775,8,4.6345750964563095,346697.6437739113,192176.115257721,547217.2137605341,1.578370155054719,1086090.9727921663,45782.749935691,22.376710623504888,37198.136455108266,18.180907358312936
20241009102622_3,1.0,15.733499124730475,0.0,22.50372112247212,178.0251164597021,-34.816794873442085,0.0,1321.750958089954,9823.775639347668,1603.2759307364865,0.0,132302.29904356538,785824.8642997643,466,11.130218782841311,376.9956840774834,33962.0,4.295724766000505,2.901314426396878,1.1003015640218823,3.515014813560503,15.809008408453835,62.093333333333334,48.0,43.34671793291339,62.58626453132952,43.512443338488325,36.47967463969196,1.3246094636452166,1.0235593492009665,1.2045628528154904,32.876857535440756,35.931769031809964,0.24,140,3.343842552784943,0.34393837786239845,0.291646759320455,50.357142857142854,23.235462868078987,33.588226811776,0.3357142857142857,17,0.40603802426674307,0.6879404484348345,0.2601965659673673,55.05882352941177,23.78697267842531,119,216.15126050420167,136.16855833827324,0.15862485960553166,0.18350821109796692,,,1016,700,371,24.266743097353586,16.719212763924716,8.861182764880098,0.9841689532032063,0,0,0,0.0,0.0,0,0,11663.484167146958,1.4303061858057988,0.04400185270958777,37.5899,39.56691,1487.316190209,17.355047616899345,5.302659948236917,2,4.183794494968295,331455.18992394244,169032.35638252873,400427.60328889365,1.208089707030317,900915.1495953647,45393.5571779093,21.015535730513566,37616.87496519233,17.415219891292743
20241009103234_6,1.0,16.608150914562305,0.0,25.840418297831665,216.12093976735616,-18.656130812532695,0.0,1977.5301574768396,11968.154133156482,1342.8167155912063,0.0,229467.38485206023,1317915.9305418388,498,17.517323859439305,357.6416561154209,21027.0,2.840718724669008,1.9395433744471442,0.7393302770122949,2.5950829253619885,11.76114516622405,51.4,32.5,34.380162238645056,61.27972868193106,45.80172881550199,37.89744893380808,1.3396029488605925,1.1165397924548655,1.196659601182173,37.371272528191916,33.094758302504665,0.2222222222222222,86,3.0250800239192377,0.4146912138875973,0.33887768817691083,39.56976744186046,14.042742640814483,37.944347225745645,0.16279069767441862,5,0.17587674557669986,1.2701804297584534,0.6583354856905184,34.8,7.730459236035076,85,160.3294117647059,117.97221888676053,0.1164558660544832,0.060077092901406615,,,672,437,239,23.63783460550846,15.371627563403568,8.406908438566253,0.8591770219253826,0,0,0,0.0,0.0,0,0,11968.154133156482,1.5558877343277482,0.050535077288941736,37.637060000000005,37.697680000000005,1418.8298440208005,17.1184739976625,6.034602307215497,2,4.440885937419294,195298.89633522253,134772.15481135584,409714.4244705263,2.0978839725098513,739785.4756171047,35746.26646533,21.239611684688057,28809.434487051083,17.11790522106422
20241009103315_7,6.0,24.247469589080815,16.74519721986886,37.886093831856385,396.6509568340564,-47.93686099548134,0.0,1700.8324858185752,9021.83870642144,2778.5592963566646,0.0,157027.0535514796,782620.3669377209,803,21.250132317137716,974.9871526650745,22055.999999999993,1.4019832189168568,4.640158836332463,1.1611969664485469,6.4811499305961675,33.18343459558953,73.93571428571428,39.0,65.79450809846037,85.26357419544713,54.421897620708314,64.98749510701657,1.3355547714716842,1.047555367683154,1.0178852335628652,35.683504200860476,36.45151282613373,0.2785714285714286,184,4.869270667936911,0.39998701387415636,0.30631172320254113,49.09782608695652,22.203632577169174,36.464429104415096,0.27717391304347827,22,0.5821954059489786,0.8958240642626176,0.43583387730714884,42.81818181818182,9.29142499901908,140,61.01428571428571,1531.3589575729052,0.1731711144022229,0.19640661199200102,,,1312,863,455,34.72001693659363,22.83793796972584,12.040859532126602,0.9420677173563827,0,0,0,0.0,0.0,0,0,12265.037025785106,1.5624761871612927,0.10102865540044086,37.11788,50.534440000000004,1875.7312797872,14.131416031054409,7.308098518986512,42,4.772776361173309,688169.1842818366,401347.6155464229,868015.6357297433,1.2613404603921516,1957532.435558003,47706.700405026,17.51990466581932,39421.883418426085,14.477371802580274
20241009104009_10,2.0,19.006924763497924,18.989667228554737,25.341003691889355,215.87513605813515,-34.42572437667462,0.0,1357.2310248686194,4934.989587384153,1476.7245313048359,0.0,137391.68803348564,631582.367931625,585,16.661445131155478,529.8045228063671,25409.000000000007,2.6189445475159765,4.048869104854491,1.852532942433145,4.333296370148171,17.464336159607385,70.47126436781609,47.0,47.338555421937585,75.7066700676302,59.47130425229787,44.98811405300983,1.427890897851673,1.0399531893634588,1.2502470987037366,36.788738549109844,37.53095628423098,0.42528735632183906,213,6.066474893907893,0.42117164506594307,0.305249547152869,48.15492957746479,23.792322046730167,31.98915242510468,0.3474178403755869,22,0.6265842613425993,0.6083664833512296,0.134825115058557,50.40909090909091,40.430253176313734,156,80.76282051282051,1826.7935132082491,0.26322915954590176,0.302439869437668,,,1550,1045,524,44.14570932186495,29.762752413773462,14.924097861069182,1.005149556825847,0,0,0,0.0,0.0,0,0,8493.770578693608,1.3332511180638642,0.054344063689858085,38.7153,41.38535,1602.246240855,14.181449541899836,6.589700454600125,37,5.077380026904857,415805.57608420524,277498.1748351943,811516.6053382701,1.951673214632237,1504820.3562576699,54427.164745409,18.832928977650173,42604.65374262308,14.742094720630822
20241009104511_13,1.0,13.775585819337456,0.0,26.948512971423284,236.07209316046507,-31.851964420390118,0.0,1338.1328846135893,5531.680845174543,2569.7167215766644,0.0,126678.73978179868,675199.9925768314,338,9.669575168073237,321.61531129606186,29059.0,4.928595658073269,4.343248221348596,3.487444151797919,4.5656977108214685,18.22429657176913,75.52083333333333,77.0,43.820652276891344,76.5027509775863,60.64367125323393,49.762205291677894,1.1019092029237163,1.0408561730827919,0.7094245039318341,23.337829707939587,22.472051997277394,0.3333333333333333,55,1.5734515806036333,0.3908189904819697,0.36213586631771705,42.92727272727273,14.168921875267646,35.5629397492272,0.21818181818181817,10,0.286082105564297,0.6660930747261855,0.08386488227069992,63.2,77.26163342824174,93,258.35483870967744,215.7268606144478,0.14215156081631056,0.15269982305218285,,,521,334,178,14.904877699899872,9.555142325847518,5.0922614790444864,0.7075267690055198,0,0,0,0.0,0.0,0,0,10297.376758692904,1.9562516850350098,0.05119047619047619,41.57239,40.95401,1702.5560757838998,17.330195747006133,5.640770755517224,2,4.2855156914117,301363.0907267041,127329.74065278831,271041.83320619765,0.8993862936320767,699734.6645856902,35639.91210317,21.201613386775726,29235.806735436414,17.391913584435702
20241009104851_15,1.0,16.93129259055078,0.0,27.1239474439067,209.3853584850885,-22.98880730589396,0.0,1488.838324390929,6398.511085284772,1591.3148261196445,0.0,150193.07321994053,608274.9997842408,437,14.64968152866242,375.57999783340415,22422.000000000004,3.0267278617710587,2.8286658405950074,0.9127320584659794,3.753714267889749,13.894192314412559,60.782051282051285,35.0,44.29552487551503,61.895497569244284,43.57945073918742,38.38659096874457,1.1103339133699595,1.0296789227369885,0.9222347369873464,27.877764568545555,29.973927210945558,0.32051282051282054,67,2.2460610124036204,0.3874266872559056,0.33739838412051576,42.67164179104478,19.108791490565157,36.73970806399545,0.3283582089552239,15,0.5028494803888703,0.8045113786241546,0.27891058153551207,46.666666666666664,18.585537985816345,84,182.03571428571428,138.6608955783318,0.14576705523805675,0.12129477948782365,,,635,454,240,21.28729466979551,15.219577606436474,8.045591686221925,0.8904607165835137,0,0,0,0.0,0.0,0,0,6672.031041957757,1.6020009871570209,0.06325110689437065,41.21109,41.803619999999995,1722.7727461457998,17.549447151566604,5.9825745680232565,2,4.478576387331093,249224.37896059273,121777.71338431654,285383.4551313827,1.1450864330431632,656385.547476292,34270.306485258,21.662646324436157,27769.018515180578,17.553109048786713
20241009105123_17,15.0,14.888861344772144,0.0,24.67186921770479,175.7500261648408,-40.98940348301329,0.0,1437.2982743228363,5946.341277527638,3512.3154154322087,0.0,141859.28972795917,661193.7012073658,405,14.033264033264034,338.4619888923108,21909.0,3.151920586965904,2.8693998397717246,0.8423915762830808,3.635057233350662,14.58324301875615,68.765625,45.5,47.152923486878045,63.95654081130504,48.74405907248877,34.39486294633267,1.1654854323580779,1.0732205035794549,0.9474896252639948,27.344362166786855,27.97926194269201,0.25,72,2.494802494802495,0.5035235811015666,0.383149527809109,45.19444444444444,17.040506389913748,39.681482674406325,0.3055555555555556,32,1.1088011088011087,0.5657956411964995,0.10189912847712067,39.40625,9.91482278901141,74,210.83783783783784,171.84389734519092,0.12169885070580115,0.06969884342085687,,,526,356,196,18.225918225918225,12.335412335412336,6.791406791406792,0.7534728864081934,0,0,0,0.0,0.0,0,0,8208.26185004552,1.6570689085211816,0.049000644745325596,39.60857,38.99385,1544.4906372945002,17.598458130100184,5.58134038327834,2,4.339050844018585,194789.94474826363,105003.20378377552,285713.99830927374,1.4667800161785334,585507.1468413129,33817.34103487,21.789523862673967,27314.682492455213,17.59966655441702
20241009105622_19,1.0,14.142362615313823,0.0,21.131728117201188,148.7593649042399,-24.500818004733325,0.0,1245.0799165714761,4129.356583883695,1642.0541077451728,0.0,126866.43887236589,644977.2167886769,325,11.400308685281324,259.1389848260002,23120.0,4.29101707498144,3.7323279895789256,2.606974760179422,3.8119602283607343,18.998690011235432,76.71739130434783,56.0,58.61208624562234,65.00863473847059,61.8183571003635,26.244484808287346,1.1758035824646311,1.0449173666314295,0.6606587179857775,26.772375626204795,23.0523342713567,0.2608695652173913,69,2.4203732285674198,0.4225219178412128,0.2931409373580829,42.289855072463766,11.72894530424669,32.246102495897006,0.2898550724637681,7,0.24554511014452085,0.8376943309464207,0.22359822435755153,39.57142857142857,8.566665343179972,80,250.0625,203.03560917669097,0.19181192761133872,0.13465303865322914,,,546,391,227,19.152518591272624,13.715448295215378,7.962677143258033,0.8047768343094472,0,0,0,0.0,0.0,0,0,5677.164597618872,1.4942148417492171,0.041353383458646614,40.046580000000006,38.79759,1553.7107917422002,17.40885957334999,5.853514690889668,2,4.331254476196882,155311.13932601947,89906.02149182736,256911.00208689968,1.6541698374101041,502128.16290474654,34726.85256867,21.74505483323106,27807.258208215953,17.41218422555789
