ID,ncggfat_score
100001888,5
100002789,6
100002889,11
100007924,11
100009270,4
100009497,5
100009597,8
100010078,6
100010778,6
100011454,4
100012450,7
100013361,6
100018354,6
100018835,6
100019261,9
100023947,10
100025008,8
100032068,6
101001102,4
101002256,6
101002493,5
101003776,4
101007850,8
101007875,10
101009466,4
101009710,7
101012072,10
101013200,6
101013492,4
101015545,7
101017779,9
101020840,8
101030255,9
101032992,7
101033099,10
101033524,4
101035789,11
101039266,9
101041249,11
101056882,7
101058648,4
113000095,7
113001752,7
113002365,10
113002416,5
113002503,6
113003026,4
113004208,8
113004608,11
113004813,4
113005834,7
113008217,8
113008557,4
113009602,10
113011437,8
113011725,8
113012395,5
113012889,6
113012935,10
113013275,13
113014060,7
113014599,10
113015075,4
113016488,4
113016704,5
113017159,7
113017160,10
113020357,8
113020758,10
113023051,10
