folder,sensitivity_count
20240201100501_20859,2.0
20240201100511_20860,2.0
20240201101327_20862,7.0
20240201101848_20863,3.0
20240201102409_20864,2.0
20240201105300_20867,8.0
20240201110207_20869,2.0
20240201111044_20870,6.0
20240201112034_20872,31.0
20240201114135_20874,5.0
20240201115002_20876,6.0
20240201120521_20879,8.0
20240201121900_20881,3.0
20240201122019_20882,3.0
20240201135033_20885,29.0
20240201140805_20887,16.0
20240201142214_20888,17.0
20240201142734_20889,8.0
20240201144605_20891,2.0
20240201145121_20892,2.0
20240201150545_20893,2.0
20240201151455_20896,31.0
20240201152102_20897,15.0
20240201152119_20898,5.0
20240201153147_20899,5.0
20240201153720_20900,16.0
20240201153805_20901,9.0
20240201155055_20904,2.0
20240201155537_20905,5.0
20240201160907_20907,3.0
20240201161204_20908,23.0
20240202090513_20910,2.0
20240202091201_20911,2.0
20240202092748_20913,2.0
20240202093058_20915,2.0
20240202095015_20918,6.0
20240202095315_20920,2.0
20240202100726_20923,3.0
20240202101033_20925,8.0
20240202101545_20926,2.0
20240202102638_20927,2.0
20240202102720_20928,7.0
20240202104015_20931,2.0
20240202104609_20933,2.0
20240202105102_20935,2.0
20240202105708_20937,5.0
20240202110535_20938,32.0
20240202112056_20939,8.0
20240202112706_20940,2.0
20240202112719_20941,2.0
20240202113752_20942,15.0
20240202141005_20947,2.0
20240202142206_20948,2.0
20240202143059_20949,3.0
20240202143326_20950,3.0
20240202144641_20952,19.0
20240202150243_20955,2.0
20240202151714_20959,22.0
20240202160934_30932,21.0
20240202162431_30933,2.0
20240202165403_30935,9.0
20240202170300_30937,2.0
20240203084402_30942,2.0
20240203090630_30944,2.0
20240203091819_30945,12.0
20240203095711_30950,3.0
20240203100614_30952,21.0
20240203102313_30955,25.0
20240203102344_30956,2.0
20240203105848_30958,2.0
20240203111120_30961,2.0
20240203111431_30962,11.0
20240203112636_30963,2.0
20240203112727_30964,16.0
20240203113248_30965,2.0
20240203114601_30966,10.0
20240203115409_30967,7.0
20240203121256_30969,2.0
20240203131219_30971,7.0
20240203132627_30973,2.0
20240203150348_30984,12.0
20240203150807_30985,5.0
20240203151618_30986,2.0
20240203151917_30987,2.0
20240203154435_30988,2.0
20240206084005_30995,2.0
20240206085442_30996,10.0
20240206090254_30997,2.0
20240206094646_31002,2.0
20240206095103_31004,15.0
20240206100051_31006,5.0
20240206102616_31008,3.0
20240206103314_31009,2.0
20240206104054_31010,6.0
20240206104817_31012,2.0
20240206111310_31015,2.0
20240206112138_31016,15.0
20240206112309_31017,2.0
20240206112331_31018,2.0
20240206113133_31019,9.0
20240206114548_31020,10.0
20240206115153_31021,7.0
20240206120151_31022,2.0
20240206132111_31027,2.0
20240206134733_31028,19.0
20240206135629_31029,7.0
20240206141441_31030,4.0
20240206144301_31032,2.0
20240206144320_31033,5.0
20240206145829_31034,7.0
20240206151841_31036,2.0
20240206151943_31037,3.0
20240206152749_31039,8.0
20240206153921_31040,7.0
20240206154611_31043,10.0
20240206155345_31044,2.0
20240206160714_31046,31.0
20240206173611_31048,9.0
20240207085816_31051,2.0
20240207090549_31052,2.0
20240207091117_31053,18.0
20240207092218_31054,6.0
20240207095059_31059,2.0
20240207095951_31061,2.0
20240207100737_31062,2.0
20240207100821_31063,11.0
20240207102619_31064,2.0
20240207103341_31066,2.0
20240207103759_31067,2.0
20240207104553_31069,2.0
20240207110815_31071,2.0
20240207111937_31073,2.0
20240207115436_31075,8.0
20240207120559_31076,2.0
20240207122510_31079,2.0
20240207122511_31078,5.0
20240207124559_31080,4.0
20240207125308_31081,8.0
20240207141057_31087,10.0
20240207142230_31090,2.0
20240207143934_31092,6.0
20240207145822_31096,3.0
20240207150439_31097,7.0
20240207151652_31098,26.0
20240207153248_31100,8.0
20240207153355_31101,3.0
20240207155649_31103,2.0
20240207160146_31104,2.0
20240208083014_31107,21.0
20240208084223_31108,6.0
20240208090305_31111,8.0
20240208092648_31112,15.0
20240208094848_31116,2.0
20240208095423_31118,2.0
20240208095814_31119,2.0
20240208102426_31122,3.0
20240208103203_31123,2.0
20240208110617_31127,6.0
20240208111319_31129,2.0
20240208111516_31130,2.0
20240208112228_31131,2.0
20240208112358_31132,2.0
20240208114647_31134,5.0
20240208120917_31136,8.0
20240208122528_31137,11.0
20240208122836_31138,2.0
20240208133818_31141,6.0
20240208133850_31142,2.0
20240208134629_31143,2.0
20240208142309_31146,15.0
20240208142642_31147,9.0
20240208143010_31148,9.0
20240208144018_31149,2.0
20240208144533_31150,13.0
20240208151715_31153,4.0
20240208153837_31155,2.0
20240208162319_31157,2.0
20240208162928_31158,6.0
20240213091309_31162,16.0
20240213093701_31166,2.0
20240213094854_31169,2.0
20240213100440_31172,6.0
20240213101129_31173,13.0
20240213101339_31174,9.0
20240213102457_31177,9.0
20240213102617_31179,2.0
20240213104608_31183,2.0
20240213105330_31184,2.0
20240213110315_31186,3.0
20240213111451_31188,11.0
20240213112303_31190,2.0
20240213114011_31194,3.0
20240213114501_31195,9.0
20240213114808_31196,2.0
20240213115102_31197,2.0
20240213115532_31198,2.0
20240213120517_31199,2.0
20240213123722_31201,2.0
20240213141442_31202,2.0
20240213151523_31208,2.0
20240213152348_31210,9.0
20240213154026_31212,6.0
20240213154547_31213,2.0
20240213155055_31215,8.0
20240213155303_31216,9.0
20240213160322_31219,3.0
20240213162945_31223,3.0
20240213174839_31228,6.0
20240214090003_31229,2.0
20240214090008_31230,7.0
20240214092408_31231,8.0
20240214093330_31233,7.0
20240214093604_31234,2.0
20240214095159_31236,6.0
20240214100545_31238,9.0
20240214100909_31239,18.0
20240214102032_31240,9.0
20240214102900_31242,2.0
20240214105542_31246,2.0
20240214105846_31247,2.0
20240214110948_31249,5.0
20240214111914_31250,12.0
20240214114115_31253,13.0
20240214114441_31254,19.0
20240214120041_31256,2.0
20240214120331_31257,8.0
20240214122513_31262,2.0
20240214140821_31264,18.0
20240214142105_31265,2.0
20240214143547_31266,8.0
20240214145312_31268,9.0
20240214150409_31269,2.0
20240214151352_31270,10.0
20240214152526_31271,2.0
20240214153024_31273,2.0
20240214153414_31275,7.0
20240214154644_31277,2.0
20240214155153_31279,2.0
20240214155244_31280,2.0
20240214155923_31281,6.0
20240214160854_31282,2.0
20240214161933_31286,6.0
20240214164110_31288,47.0
20240214164144_31289,5.0
20240215091634_31291,8.0
20240215092725_31293,11.0
20240215095204_31296,2.0
20240215095959_31297,2.0
20240215100957_31299,39.0
20240215100959_31300,5.0
20240215101800_31301,2.0
20240215101852_31302,2.0
20240215102653_31303,2.0
20240215103222_31304,2.0
20240215103621_31305,21.0
20240215104355_31306,2.0
20240215111233_31309,5.0
20240215111254_31310,6.0
20240215112339_31311,6.0
20240215114343_31313,2.0
20240215114643_31314,2.0
20240215115547_31316,2.0
20240215115652_31317,5.0
20240215120328_31319,7.0
20240215121118_31320,8.0
20240215121932_31321,2.0
20240215123257_31324,4.0
20240215124635_31325,17.0
20240215133609_31327,2.0
20240215134958_31328,2.0
20240215144624_31330,12.0
20240215145051_31331,2.0
20240215145649_31333,2.0
20240215153006_31336,10.0
20240215153828_31338,13.0
20240215155101_31341,2.0
20240215155831_31342,6.0
20240215161716_31343,9.0
20240215162519_31344,23.0
20240215165022_31345,28.0
20240215172216_31346,6.0
20240220134832_31351,2.0
20240220140525_31352,2.0
20240220141736_31354,14.0
20240220144639_31355,2.0
20240220151305_31359,2.0
20240220151637_31360,8.0
20240220154456_31362,6.0
20240220161101_31366,2.0
20240220161859_31367,2.0
20240220164301_31369,3.0
20240220165415_31371,8.0
20240220173629_31374,7.0
20240221084414_31375,2.0
20240221090003_31377,11.0
20240221092029_31381,7.0
20240221093243_31384,2.0
20240221094302_31386,2.0
20240221094412_31387,2.0
20240221094649_31388,2.0
20240221101626_31393,7.0
20240221102354_31396,6.0
20240221103520_31398,12.0
20240221103751_31399,2.0
20240221104557_31401,2.0
20240221104747_31402,2.0
20240221105444_31404,2.0
20240221110222_31407,2.0
20240221111055_31409,2.0
20240221111205_31410,16.0
20240221120802_31413,6.0
20240221140003_31415,2.0
20240221141243_31416,3.0
20240221151113_31421,2.0
20240221151549_31423,2.0
20240221151646_31424,6.0
20240221153359_31428,7.0
20240221154752_31430,10.0
20240221155543_31431,2.0
20240221155902_31432,6.0
20240221160423_31433,2.0
20240221160653_31434,2.0
20240221161746_31436,2.0
20240221164930_31437,2.0
20240221174439_31441,43.0
20240222091923_31442,2.0
20240222092507_31444,7.0
20240222093151_31445,2.0
20240222095418_31447,2.0
20240222100238_31450,2.0
20240222101442_31452,6.0
20240222103302_31455,20.0
20240222103936_31458,6.0
20240222104502_31459,3.0
20240222104922_31460,2.0
20240222104927_31461,2.0
20240222110020_31462,6.0
20240222110445_31463,7.0
20240222110506_31464,2.0
20240222111456_31466,2.0
20240222111909_31467,20.0
20240222113546_31470,9.0
20240222114345_31472,11.0
20240222120235_31474,7.0
20240222120318_31475,18.0
20240222122203_31476,2.0
20240222122728_31478,2.0
20240222124330_31479,3.0
20240222130522_31480,2.0
20240222131634_31481,19.0
20240227090658_31483,5.0
20240227093955_31490,2.0
20240227095805_31492,2.0
20240227100722_31495,2.0
20240227102045_31497,13.0
20240227102150_31498,2.0
20240227102418_31499,2.0
